questionId,questionTextKey,questionText,normalizedFactId,sourceDocumentTypes,sourceDocumentHint,ruleIds,affectedModels,requiredForInclusion,requiredForExclusion,unknownBehavior,contradictionBehavior,temporalScope,territory,reviewStatus
A_INVOICING_SUBJECT,UNMAPPED,¿Quién emite realmente las facturas?,invoicingSubject,"[""UNMAPPED""]","Una factura emitida reciente, NIF de la entidad o certificado censal actual.","[""es-common.2025.model-100"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-184"",""es-common.2025.model-200"",""es-common.2025.model-202"",""es-common.2025.model-303"",""es-common.2026.model-100"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-184"",""es-common.2026.model-200"",""es-common.2026.model-202"",""es-common.2026.model-303""]","[""100"",""130"",""131"",""184"",""200"",""202"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
A_TAXPAYER_ROLE,UNMAPPED,¿Cuál describe mejor tu relación con la actividad?,taxpayerRole,"[""UNMAPPED""]",Informe de situación actual en RETA y documentación de la entidad.,"[""es-common.2025.model-100"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-184"",""es-common.2025.model-200"",""es-common.2026.model-100"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-184"",""es-common.2026.model-200""]","[""100"",""130"",""131"",""184"",""200""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
A_PERSONAL_ACTIVITY,UNMAPPED,¿Tienes además una actividad que facturas personalmente?,hasPersonalActivity,"[""UNMAPPED""]",Facturas emitidas personalmente y situación censal de la persona.,"[""es-common.2025.model-100"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-303"",""es-common.2026.model-100"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-303""]","[""100"",""130"",""131"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
B_FISCAL_YEAR,UNMAPPED,¿Qué ejercicio fiscal quieres analizar?,fiscalYear,"[""UNMAPPED""]",Declaraciones y libros del ejercicio elegido.,"[""es-common.2025.model-036"",""es-common.2025.model-100"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-303"",""es-common.2025.model-390"",""es-common.2026.model-036"",""es-common.2026.model-100"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-303"",""es-common.2026.model-390""]","[""036"",""100"",""130"",""131"",""303"",""390""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
B_TERRITORY,UNMAPPED,¿Cuál es el territorio fiscal de la actividad?,territory,"[""UNMAPPED""]",Domicilio fiscal y lugares de actividad en la situación censal actual.,"[""es-common.2025.model-036"",""es-common.2025.model-130"",""es-common.2025.model-303"",""es-common.2025.model-390"",""es-common.2026.model-036"",""es-common.2026.model-130"",""es-common.2026.model-303"",""es-common.2026.model-390""]","[""036"",""130"",""303"",""390""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
B_START_DATE,UNMAPPED,¿Cuándo comenzó la actividad dentro del ejercicio?,activityStartDate,"[""UNMAPPED""]",Situación censal o 036 de alta con fecha de efecto.,"[""es-common.2025.model-036"",""es-common.2025.model-111"",""es-common.2025.model-115"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-303"",""es-common.2026.model-036"",""es-common.2026.model-111"",""es-common.2026.model-115"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-303""]","[""036"",""111"",""115"",""130"",""131"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
B_ACTIVITY_ACTIVE,UNMAPPED,¿La actividad sigue activa actualmente?,activityStillActive,"[""UNMAPPED""]",Situación censal actual o 036 de baja con fecha de efecto.,"[""es-common.2025.model-036"",""es-common.2025.model-111"",""es-common.2025.model-115"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-303"",""es-common.2026.model-036"",""es-common.2026.model-111"",""es-common.2026.model-115"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-303""]","[""036"",""111"",""115"",""130"",""131"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
B_END_DATE,UNMAPPED,¿Desde qué fecha cesó la actividad?,activityEndDate,"[""UNMAPPED""]",036 de baja o situación censal posterior.,"[""es-common.2025.model-036"",""es-common.2025.model-111"",""es-common.2025.model-115"",""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-303"",""es-common.2026.model-036"",""es-common.2026.model-111"",""es-common.2026.model-115"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-303""]","[""036"",""111"",""115"",""130"",""131"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
B_RETA,UNMAPPED,¿Estuviste dado de alta como autónomo en la Seguridad Social (RETA) al menos un día del ejercicio elegido?,retaDuringYear,"[""UNMAPPED""]",Informe de situación actual o vida laboral.,"[""es-common.2025.model-100"",""es-common.2026.model-100""]","[""100""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
C_ACTIVITY_KINDS,UNMAPPED,¿Qué tipos de actividad desarrollaste?,activityKinds,"[""UNMAPPED""]",Relación actual de actividades y epígrafes IAE.,"[""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-303"",""es-common.2025.model-347"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-303"",""es-common.2026.model-347""]","[""130"",""131"",""303"",""347""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
D_INCOME_TAX_REGIME,UNMAPPED,¿Cómo determinas el rendimiento en IRPF?,incomeTaxRegime,"[""UNMAPPED""]",Situación censal actual o apartado de IRPF del 036.,"[""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2025.model-184"",""es-common.2026.model-130"",""es-common.2026.model-131"",""es-common.2026.model-184""]","[""130"",""131"",""184""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
D_WITHHELD_PERCENT,UNMAPPED,¿Qué porcentaje real de ingresos de la actividad estuvo sometido a retención?,withheldIncomePercent,"[""UNMAPPED""]",Libro de facturas emitidas del año anterior o del período si es inicio.,"[""es-common.2025.model-130"",""es-common.2025.model-131"",""es-common.2026.model-130"",""es-common.2026.model-131""]","[""130"",""131""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_VAT_REGIMES,UNMAPPED,¿Qué regímenes o tratamientos de IVA aplican a tus actividades?,vatRegimes,"[""UNMAPPED""]",Situación censal y detalle de actividades.,"[""es-common.2025.model-303"",""es-common.2025.model-309"",""es-common.2025.model-390"",""es-common.2026.model-303"",""es-common.2026.model-309"",""es-common.2026.model-390""]","[""303"",""309"",""390""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_REDEME,UNMAPPED,¿Estuviste inscrito en el Registro de Devolución Mensual del IVA (REDEME)?,redeme,"[""UNMAPPED""]",Situación censal o acuerdo de inscripción en REDEME.,"[""es-common.2025.model-303"",""es-common.2025.model-390"",""es-common.2026.model-303"",""es-common.2026.model-390""]","[""303"",""390""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_SII,UNMAPPED,¿Enviabas a Hacienda los datos de tus facturas mediante el SII?,sii,"[""UNMAPPED""]",Situación censal y configuración o justificantes del SII.,"[""es-common.2025.model-303"",""es-common.2025.model-347"",""es-common.2025.model-390"",""es-common.2026.model-303"",""es-common.2026.model-347"",""es-common.2026.model-390""]","[""303"",""347"",""390""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_LARGE_COMPANY,UNMAPPED,¿Tenías condición de gran empresa?,largeCompany,"[""UNMAPPED""]",Situación censal actual.,"[""es-common.2025.model-111"",""es-common.2025.model-115"",""es-common.2025.model-123"",""es-common.2025.model-216"",""es-common.2025.model-303"",""es-common.2026.model-111"",""es-common.2026.model-115"",""es-common.2026.model-123"",""es-common.2026.model-216"",""es-common.2026.model-303""]","[""111"",""115"",""123"",""216"",""303""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_390_EXEMPT,UNMAPPED,¿Consta que estás exonerado de presentar el resumen anual de IVA?,vatAnnualSummaryExempt,"[""UNMAPPED""]",Instrucciones del ejercicio y situación censal.,"[""es-common.2025.model-390"",""es-common.2026.model-390""]","[""390""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_REVERSE_CHARGE,UNMAPPED,¿Recibiste alguna factura en la que tú debías declarar el IVA por inversión del sujeto pasivo?,reverseChargeTransactions,"[""UNMAPPED""]",Facturas recibidas que indiquen «inversión del sujeto pasivo» y libro de IVA.,"[""es-common.2025.model-303"",""es-common.2025.model-309"",""es-common.2026.model-303"",""es-common.2026.model-309""]","[""303"",""309""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
E_SPECIAL_REFUND,UNMAPPED,¿Solicitaste una devolución especial de IVA distinta de la devolución normal del modelo 303?,specialVatRefundSituation,"[""UNMAPPED""]","Modelo 308 o 341, justificante de la operación y régimen de IVA aplicable.","[""es-common.2025.model-308"",""es-common.2025.model-341"",""es-common.2026.model-308"",""es-common.2026.model-341""]","[""308"",""341""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
F_EMPLOYEES,UNMAPPED,¿Pagaste nóminas o retribuciones de trabajo?,employees,"[""UNMAPPED""]",Nóminas y resumen de trabajadores.,"[""es-common.2025.model-111"",""es-common.2025.model-190"",""es-common.2026.model-111"",""es-common.2026.model-190""]","[""111"",""190""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
F_PROFESSIONALS,UNMAPPED,¿Pagaste facturas de profesionales con retención?,paidProfessionalsWithWithholding,"[""UNMAPPED""]",Facturas recibidas y justificantes de pago.,"[""es-common.2025.model-111"",""es-common.2025.model-190"",""es-common.2026.model-111"",""es-common.2026.model-190""]","[""111"",""190""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
F_OTHER_WITHHOLDING,UNMAPPED,¿Pagaste otras rentas sujetas a retención de trabajo o actividad?,otherIrpfWithholdingPayments,"[""UNMAPPED""]",Libro de retenciones y justificantes.,"[""es-common.2025.model-111"",""es-common.2025.model-190"",""es-common.2026.model-111"",""es-common.2026.model-190""]","[""111"",""190""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
G_RENTS_PREMISES,UNMAPPED,"¿Alquilaste un local, oficina, despacho, nave u otro inmueble urbano para la actividad?",rentsBusinessPremises,"[""UNMAPPED""]",Contrato y facturas de alquiler.,"[""es-common.2025.model-115"",""es-common.2025.model-180"",""es-common.2026.model-115"",""es-common.2026.model-180""]","[""115"",""180""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
G_RENT_WITHHOLDING,UNMAPPED,¿La renta estaba sujeta a retención?,rentSubjectToWithholding,"[""UNMAPPED""]",Factura reciente del arrendador.,"[""es-common.2025.model-115"",""es-common.2025.model-180"",""es-common.2026.model-115"",""es-common.2026.model-180""]","[""115"",""180""]",UNMAPPED,UNMAPPED,PRESERVE_UNKNOWN_REQUIRE_CONFIRMATION,REQUIRE_REVIEW_NO_EXCLUSION,UNMAPPED,ES_COMMON_RULES_ONLY,PENDING_FISCAL_REVIEW
